human_gene,human_SIX2_normalized_ regulatory_score,ITGA8+_cells_RPKM,mouse_gene,mouse_Six2_normalized_ regulatory_score,Cited1+_cells_RPKM,z_score
ECE2,0.000,1.961,Ece2,0.000,11.640,0.000
YOD1,0.000,2.421,Yod1,0.000,1.346,0.000
THNSL1,0.000,2.368,Thnsl1,0.000,2.409,0.000
NOM1,0.000,6.174,Nom1,0.000,9.740,0.000
KLRK1,0.000,0.451,Klrk1,0.000,0.000,0.000
CNTN4,1.972,4.933,Cntn4,0.000,0.343,1.404
HPS3,0.000,4.659,Hps3,0.000,2.116,0.000
PRKACA,0.379,42.968,Prkaca,0.000,58.770,0.615
VEGFB,0.000,25.549,Vegfb,0.000,26.660,0.000
TRPC6,0.458,2.277,Trpc6,0.000,0.038,0.676
DHX30,0.000,37.122,Dhx30,0.000,30.500,0.000
GLA,0.000,13.898,Gla,0.000,2.750,0.000
MAGIX,0.000,0.618,Magix,0.000,0.071,0.000
WFDC2,0.000,62.635,Wfdc2,0.000,12.880,0.000
UQCRH,0.000,218.274,Uqcrh,0.000,157.400,0.000
GDPD1,0.000,2.404,Gdpd1,0.000,7.609,0.000
CCDC84,0.000,4.925,Ccdc84,0.000,3.149,0.000
ATCAY,0.000,2.348,Atcay,0.000,0.079,0.000
SLC25A15,0.000,6.940,Slc25a15,0.000,5.430,0.000
XPNPEP3,0.000,5.638,Xpnpep3,0.000,3.177,0.000
ADAM18,0.000,0.000,Adam18,0.000,0.000,0.000
CGRRF1,0.000,6.375,Cgrrf1,0.000,6.077,0.000
MAPK1IP1L,0.000,17.877,Mapk1ip1l,0.000,46.590,0.000
DEPDC1B,0.000,10.152,Depdc1b,0.000,2.876,0.000
UNC45B,0.000,0.000,Unc45b,0.000,0.044,0.000
ENTPD3,0.000,0.075,Entpd3,0.000,0.044,0.000
FSTL5,0.221,0.105,Fstl5,0.000,0.000,0.470
GOLPH3L,0.000,4.960,Golph3l,0.000,10.060,0.000
PBXIP1,0.000,23.641,Pbxip1,0.000,8.095,0.000
CXCL5,0.000,0.128,Cxcl5,0.000,0.039,0.000
KNCN,0.000,0.000,Kncn,0.000,0.000,0.000
DMRTC1B,0.000,1.022,Dmrtc1b,0.000,0.000,0.000
ACSBG2,0.694,0.154,Acsbg2,0.000,0.010,0.833
MEFV,0.000,1.506,Mefv,0.000,0.000,0.000
RPAIN,0.000,23.801,Rpain,0.000,6.739,0.000
PSTK,0.000,3.210,Pstk,0.000,8.922,0.000
PALM,0.000,45.114,Palm,0.000,29.600,0.000
CCR9,0.000,0.000,Ccr9,0.000,0.007,0.000
FMR1NB,0.000,0.000,Fmr1nb,0.000,0.005,0.000
KCTD14,0.000,0.298,Kctd14,0.000,0.281,0.000
PAK3,0.000,2.163,Pak3,0.000,0.407,0.000
HILS1,0.000,0.114,Hils1,0.000,0.000,0.000
NFS1,0.000,4.041,Nfs1,0.000,10.590,0.000
STX1A,0.000,3.816,Stx1a,0.000,5.255,0.000
HIST1H2BK,0.000,17.892,Hist1h2bk,0.000,0.370,0.000
HIST1H2BB,0.000,0.422,Hist1h2bb,0.000,0.925,0.000
HIST1H2BA,0.000,0.000,Hist1h2ba,0.000,0.000,0.000
TNFSF13,0.000,2.458,Tnfsf13,0.000,0.106,0.000
NLRX1,0.000,2.672,Nlrx1,0.000,1.383,0.000
ABLIM2,1.152,1.901,Ablim2,0.000,0.057,1.073
ITGAL,0.000,1.831,Itgal,0.000,0.650,0.000
