human_gene,human_SIX2_normalized_ regulatory_score,ITGA8+_cells_RPKM,mouse_gene,mouse_Six2_normalized_ regulatory_score,Cited1+_cells_RPKM,z_score
GADD45G,0.978,3.357,Gadd45g,0.917,7.940,0.045
LEO1,0.000,13.150,Leo1,0.917,17.570,-0.957
MRPS30,1.089,13.205,Mrps30,0.917,24.100,0.122
NRN1,0.884,0.052,Nrn1,0.917,0.016,-0.025
PAX3,0.000,0.000,Pax3,0.917,0.014,-0.957
PFN2,1.815,97.260,Pfn2,0.917,29.380,0.543
PRKG2,0.726,0.093,Prkg2,0.917,1.051,-0.149
SLC6A15,0.852,0.071,Slc6a15,0.917,0.397,-0.048
TLN1,0.000,41.594,Tln1,0.917,32.230,-0.957
TTC7B,0.000,7.290,Ttc7b,0.917,7.346,-0.957
VRK1,1.452,8.878,Vrk1,0.917,10.400,0.348
ETV1,1.972,15.364,Etv1,0.912,5.832,0.625
FNDC3B,0.000,8.907,Fndc3b,0.912,5.817,-0.955
LRRC8C,0.000,2.068,Lrrc8c,0.912,2.238,-0.955
MEF2A,0.331,15.711,Mef2a,0.912,9.968,-0.520
RUNDC3B,0.000,0.052,Rundc3b,0.912,2.846,-0.955
SH3GL2,0.268,0.497,Sh3gl2,0.912,1.863,-0.592
TMOD3,0.000,10.587,Tmod3,0.912,18.460,-0.955
VSTM2B,0.852,10.947,Vstm2b,0.912,3.262,-0.045
ATP12A,0.000,0.027,Atp12a,0.907,0.051,-0.952
CNIH3,2.793,11.570,Cnih3,0.907,0.133,0.981
CSPG4,1.026,6.892,Cspg4,0.907,2.152,0.086
FBN2,1.404,31.000,Fbn2,0.907,40.710,0.327
SLC22A12,0.000,0.000,Slc22a12,0.907,0.704,-0.952
TRIM29,0.347,0.069,Trim29,0.907,0.005,-0.500
ADRA1B,0.442,0.094,Adra1b,0.902,0.117,-0.397
CSE1L,0.726,27.010,Cse1l,0.902,41.150,-0.138
ETV4,1.278,68.967,Etv4,0.902,58.910,0.255
SLC25A40,0.000,6.372,Slc25a40,0.902,1.872,-0.950
TEX2,0.394,7.625,Tex2,0.902,3.806,-0.446
TNFRSF25,0.000,46.396,Tnfrsf25,0.902,1.006,-0.950
AQP4,1.815,0.135,Aqp4,0.897,0.066,0.557
CALM2,0.410,279.977,Calm2,0.897,175.800,-0.426
CLYBL,0.237,0.364,Clybl,0.897,4.192,-0.620
DDI1,0.000,0.000,Ddi1,0.897,0.005,-0.947
OSBP2,0.000,1.587,Osbp2,0.897,0.178,-0.947
PMP2,0.000,0.020,Pmp2,0.897,0.000,-0.947
SLC41A2,0.931,0.831,Slc41a2,0.897,0.099,0.025
CDCA7,1.215,24.245,Cdca7,0.892,53.660,0.222
FAM189A2,0.663,0.355,Fam189a2,0.892,22.600,-0.184
FANCF,0.237,4.743,Fancf,0.892,4.815,-0.617
ITPR2,1.641,4.677,Itpr2,0.892,1.287,0.471
LDOC1L,0.000,27.204,Ldoc1l,0.892,9.417,-0.944
TSPAN18,0.536,1.437,Tspan18,0.892,10.420,-0.297
WDR25,0.000,3.403,Wdr25,0.892,2.583,-0.944
ZDHHC14,0.000,2.174,Zdhhc14,0.892,0.997,-0.944
DRD3,0.426,0.000,Drd3,0.887,0.000,-0.402
EPCAM,0.394,40.832,Epcam,0.887,5.721,-0.435
HOXD8,0.994,13.999,Hoxd8,0.887,11.870,0.078
LOXL2,0.000,15.710,Loxl2,0.887,8.112,-0.942
NPEPL1,0.000,25.209,Npepl1,0.887,8.026,-0.942
PHF14,0.300,19.561,Phf14,0.887,22.420,-0.539
SEL1L,0.000,11.550,Sel1l,0.887,13.250,-0.942
TTC22,0.000,1.140,Ttc22,0.887,1.517,-0.942
ATP8A1,1.262,5.514,Atp8a1,0.882,4.736,0.260
CCDC110,1.310,0.187,Ccdc110,0.882,0.001,0.289
DYM,0.852,13.494,Dym,0.882,12.790,-0.023
FOXN3,1.373,9.172,Foxn3,0.882,4.974,0.327
GPR146,1.152,0.745,Gpr146,0.882,1.246,0.189
ITIH5,0.852,1.438,Itih5,0.882,1.704,-0.023
MBOAT4,0.000,0.463,Mboat4,0.882,0.059,-0.939
TBC1D22A,0.489,7.825,Tbc1d22a,0.882,6.777,-0.336
TUSC1,0.000,13.540,Tusc1,0.882,5.901,-0.939
WNT8B,0.000,0.108,Wnt8b,0.882,0.337,-0.939
ARHGAP28,0.237,3.370,Arhgap28,0.877,4.183,-0.607
DLG1,0.000,17.348,Dlg1,0.877,17.250,-0.937
FHL2,0.000,19.436,Fhl2,0.877,8.369,-0.937
MRPL33,0.000,63.624,Mrpl33,0.877,27.970,-0.937
NF1,0.000,10.842,Nf1,0.877,8.500,-0.937
ARID5B,1.389,9.965,Arid5b,0.872,7.979,0.343
CD55,0.000,10.515,Cd55,0.872,1.135,-0.934
HSF2,1.026,14.885,Hsf2,0.872,10.680,0.111
IGFBP7,6.690,58.186,Igfbp7,0.872,13.800,2.116
LONRF2,0.521,3.931,Lonrf2,0.872,5.020,-0.298
MSMB,0.426,0.000,Msmb,0.872,0.000,-0.392
PHYHIPL,0.237,0.200,Phyhipl,0.872,0.237,-0.604
SLC24A6,1.262,3.794,Slc24a6,0.872,2.690,0.267
FABP5,0.000,50.852,Fabp5,0.867,83.720,-0.931
GALNT2,0.347,17.330,Galnt2,0.867,33.550,-0.472
RPL31,1.073,1951.010,Rpl31,0.867,471.200,0.147
SNTB2,0.000,3.619,Sntb2,0.867,8.809,-0.931
ZFAND6,0.000,26.294,Zfand6,0.867,31.760,-0.931
ADARB2,1.893,0.095,Adarb2,0.863,0.005,0.621
HS3ST5,1.041,0.380,Hs3st5,0.863,0.020,0.130
NID1,0.000,32.459,Nid1,0.863,9.754,-0.929
NPY,1.120,2.968,Npy,0.863,0.424,0.183
POU3F1,0.000,1.151,Pou3f1,0.863,0.580,-0.929
SCUBE2,0.000,0.767,Scube2,0.863,0.069,-0.929
TMEM106C,0.000,27.042,Tmem106c,0.863,11.000,-0.929
ZIC5,0.284,0.000,Zic5,0.863,0.003,-0.540
ADCY2,1.499,3.685,Adcy2,0.858,2.564,0.418
AGL,0.363,4.798,Agl,0.858,15.570,-0.448
ARHGAP20,0.300,1.114,Arhgap20,0.858,0.485,-0.519
BDH1,0.000,4.450,Bdh1,0.858,1.426,-0.926
CLDN22,0.947,0.328,Cldn22,0.858,0.055,0.066
DHCR7,0.284,19.587,Dhcr7,0.858,9.030,-0.537
GALNT10,1.325,4.230,Galnt10,0.858,4.818,0.317
KCND3,1.373,1.202,Kcnd3,0.858,0.580,0.345
OSBPL10,0.000,12.687,Osbpl10,0.858,1.823,-0.926
RBPJ,1.168,22.873,Rbpj,0.858,21.710,0.218
TXNDC8,0.458,0.000,Txndc8,0.858,0.000,-0.349
XDH,0.726,0.047,Xdh,0.858,0.243,-0.105
ADAM30,0.316,0.000,Adam30,0.853,0.005,-0.497
ARPP21,2.872,0.850,Arpp21,0.853,0.040,1.046
KCNE4,0.742,3.430,Kcne4,0.853,0.273,-0.088
MRPS22,0.000,20.470,Mrps22,0.853,18.110,-0.923
POPDC3,0.000,0.245,Popdc3,0.853,0.150,-0.923
WDFY3,0.647,8.134,Wdfy3,0.853,12.950,-0.168
DLX2,0.726,0.873,Dlx2,0.848,0.025,-0.097
GFRA2,0.836,3.090,Gfra2,0.848,2.428,-0.009
IGFBP5,0.742,35.828,Igfbp5,0.848,102.000,-0.084
IMMP2L,3.108,6.190,Immp2l,0.848,1.218,1.136
PJA2,1.247,23.649,Pja2,0.848,18.930,0.275
QTRTD1,0.505,7.346,Qtrtd1,0.848,13.110,-0.295
SIM2,0.757,1.020,Sim2,0.848,0.196,-0.071
TRIM2,0.000,9.302,Trim2,0.848,4.489,-0.921
ENHO,1.231,7.056,Enho,0.843,17.190,0.269
PAX1,0.884,0.000,Pax1,0.843,0.010,0.031
SERTAD2,0.852,9.970,Sertad2,0.843,6.682,0.007
TJP2,0.284,5.648,Tjp2,0.843,15.190,-0.527
EIF4G2,0.000,244.620,Eif4g2,0.838,150.300,-0.915
HOXD9,0.805,80.560,Hoxd9,0.838,12.150,-0.026
LETM2,0.000,0.655,Letm2,0.838,0.948,-0.915
IRX4,1.404,0.171,Irx4,0.833,0.011,0.382
LARGE,3.014,11.197,Large,0.833,5.143,1.112
N6AMT1,1.751,7.573,N6amt1,0.833,8.576,0.571
NFE2L2,0.000,25.004,Nfe2l2,0.833,11.170,-0.913
RTKN2,0.694,5.564,Rtkn2,0.833,1.400,-0.112
RUFY3,0.000,18.130,Rufy3,0.833,3.005,-0.913
SDC1,0.284,10.411,Sdc1,0.833,17.330,-0.520
SSBP2,0.426,12.201,Ssbp2,0.833,17.360,-0.363
TNFSF10,0.000,0.542,Tnfsf10,0.833,0.250,-0.913
BACH1,1.531,12.496,Bach1,0.828,9.587,0.457
CDCP2,0.000,0.055,Cdcp2,0.828,0.003,-0.910
LHX3,0.505,0.000,Lhx3,0.828,0.005,-0.280
LYPD6,0.316,2.757,Lypd6,0.828,0.570,-0.479
MEP1A,0.000,0.000,Mep1a,0.828,2.071,-0.910
SCN10A,0.000,0.009,Scn10a,0.828,0.000,-0.910
TCTEX1D1,0.000,0.234,Tctex1d1,0.828,0.137,-0.910
E2F7,0.252,4.707,E2f7,0.823,2.666,-0.550
EFCAB4B,1.925,0.469,Efcab4b,0.823,0.539,0.664
GATA6,0.000,2.057,Gata6,0.823,0.936,-0.907
GPR135,0.000,3.044,Gpr135,0.823,0.484,-0.907
KHDRBS1,0.347,134.224,Khdrbs1,0.823,109.800,-0.440
KIT,0.000,3.639,Kit,0.823,1.057,-0.907
MLKL,0.000,0.635,Mlkl,0.823,0.106,-0.907
NPHP3,0.000,5.138,Nphp3,0.823,3.639,-0.907
PEMT,0.458,25.716,Pemt,0.823,4.169,-0.323
SIDT1,0.805,0.856,Sidt1,0.823,0.015,-0.015
TMEM98,0.000,91.289,Tmem98,0.823,40.800,-0.907
ATF7IP,0.852,13.513,Atf7ip,0.818,15.030,0.026
CAPN2,0.000,27.925,Capn2,0.818,40.690,-0.905
CRHR1,0.347,0.372,Crhr1,0.818,0.325,-0.437
DHX8,1.799,10.917,Dhx8,0.818,14.100,0.606
GBE1,1.152,6.066,Gbe1,0.818,5.925,0.237
IGSF5,0.000,0.518,Igsf5,0.818,2.016,-0.905
IL21,0.000,0.000,Il21,0.818,0.000,-0.905
IL3RA,0.000,4.698,Il3ra,0.818,2.028,-0.905
LEP,0.000,0.042,Lep,0.818,0.000,-0.905
MMD,4.134,15.666,Mmd,0.818,11.380,1.490
NOX3,1.310,0.000,Nox3,0.818,0.000,0.337
PLEKHA5,0.000,11.595,Plekha5,0.818,11.800,-0.905
RHOU,0.773,9.277,Rhou,0.818,12.730,-0.036
RRAGC,0.000,6.608,Rragc,0.818,17.340,-0.905
SYN3,1.278,0.152,Syn3,0.818,1.459,0.317
TBX5,0.000,0.000,Tbx5,0.818,0.000,-0.905
TOB1,0.000,14.568,Tob1,0.818,42.780,-0.905
CALM1,1.878,21.937,Calm1,0.814,52.960,0.649
FZD10,1.026,6.333,Fzd10,0.814,0.748,0.156
FZD3,0.505,4.254,Fzd3,0.814,8.240,-0.269
GDPD5,0.000,1.007,Gdpd5,0.814,5.353,-0.902
LPHN3,1.262,3.228,Lphn3,0.814,3.055,0.311
LRRN1,2.730,17.707,Lrrn1,0.814,30.960,1.018
METTL8,0.000,2.325,Mettl8,0.814,4.596,-0.902
PRKCB,0.789,6.848,Prkcb,0.814,0.354,-0.019
PRL,5.933,0.000,Prl,0.814,0.000,1.971
PRPH2,0.000,1.436,Prph2,0.814,0.104,-0.902
PTMA,0.394,1280.680,Ptma,0.814,1942.000,-0.381
RAG2,2.430,0.080,Rag2,0.814,0.014,0.897
RPS29,0.000,2078.560,Rps29,0.814,860.200,-0.902
SEC31B,0.000,9.350,Sec31b,0.814,0.315,-0.902
SLC7A1,0.000,6.869,Slc7a1,0.814,10.780,-0.902
SNX33,0.000,7.136,Snx33,0.814,4.446,-0.902
BEGAIN,0.000,0.898,Begain,0.809,1.836,-0.899
CTGF,0.237,238.596,Ctgf,0.809,1.217,-0.559
MECOM,1.199,4.272,Mecom,0.809,5.254,0.276
MED4,0.489,16.748,Med4,0.809,19.960,-0.281
NPC2,0.000,59.479,Npc2,0.809,23.600,-0.899
NXNL2,0.000,0.674,Nxnl2,0.809,0.047,-0.899
PCDH8,0.268,0.110,Pcdh8,0.809,2.175,-0.521
PDCD5,0.252,59.836,Pdcd5,0.809,50.390,-0.540
PIM1,0.600,52.962,Pim1,0.809,12.490,-0.176
RPS6KA2,0.268,5.712,Rps6ka2,0.809,37.440,-0.521
HABP2,1.609,0.070,Habp2,0.804,0.465,0.519
HNRNPA1,0.000,818.213,Hnrnpa1,0.804,21.610,-0.897
LIN7C,0.000,4.167,Lin7c,0.804,23.040,-0.897
NAMPT,0.316,21.301,Nampt,0.804,18.600,-0.461
RIF1,0.000,8.543,Rif1,0.804,13.410,-0.897
RPP40,0.678,6.459,Rpp40,0.804,2.138,-0.103
SLC46A1,0.000,7.402,Slc46a1,0.804,4.047,-0.897
SNTG2,2.177,3.783,Sntg2,0.804,0.164,0.796
WDR59,0.000,14.843,Wdr59,0.804,6.340,-0.897
DGKB,0.757,1.300,Dgkb,0.799,0.012,-0.033
DYRK2,1.972,8.899,Dyrk2,0.799,11.170,0.705
FRZB,0.663,4.216,Frzb,0.799,4.730,-0.113
FXYD6,0.426,62.145,Fxyd6,0.799,180.500,-0.337
HSPA4,0.962,27.971,Hspa4,0.799,61.520,0.123
IL12B,0.473,0.000,Il12b,0.799,0.000,-0.289
ITM2B,0.426,150.952,Itm2b,0.799,79.570,-0.337
PTN,0.994,63.494,Ptn,0.799,32.060,0.146
TRIM8,0.000,38.330,Trim8,0.799,39.600,-0.894
ATP5G3,0.678,38.630,Atp5g3,0.794,279.500,-0.095
BMP3,0.426,0.268,Bmp3,0.794,0.460,-0.333
ENPP6,0.000,0.297,Enpp6,0.794,0.012,-0.891
FAM73A,0.000,4.709,Fam73a,0.794,7.142,-0.891
SH3PXD2B,0.000,8.120,Sh3pxd2b,0.794,18.660,-0.891
TM9SF4,0.947,27.823,Tm9sf4,0.794,25.340,0.116
TMEM132D,1.893,5.802,Tmem132d,0.794,0.035,0.671
TNFRSF11A,0.000,1.122,Tnfrsf11a,0.794,0.285,-0.891
VSTM2L,1.057,0.604,Vstm2l,0.794,0.135,0.193
AMOTL2,2.004,64.334,Amotl2,0.789,21.790,0.727
FXN,0.000,5.348,Fxn,0.789,18.280,-0.888
GRB7,0.000,4.908,Grb7,0.789,1.425,-0.888
IVNS1ABP,0.000,31.785,Ivns1abp,0.789,89.060,-0.888
NUMB,0.000,16.715,Numb,0.789,6.850,-0.888
PKN2,0.000,12.696,Pkn2,0.789,20.320,-0.888
PMP22,0.221,8.574,Pmp22,0.789,2.464,-0.565
PRSS23,1.830,9.276,Prss23,0.789,0.949,0.643
PRTG,2.809,7.367,Prtg,0.789,2.865,1.065
RARA,0.458,21.113,Rara,0.789,14.470,-0.297
RYR1,0.000,1.998,Ryr1,0.789,0.502,-0.888
SCEL,0.710,0.000,Scel,0.789,0.043,-0.065
TRPM3,0.742,1.215,Trpm3,0.789,0.194,-0.038
BMF,1.215,19.074,Bmf,0.784,14.490,0.305
CARD11,0.300,0.348,Card11,0.784,0.048,-0.465
CSMD1,0.726,0.417,Csmd1,0.784,0.004,-0.048
CTTNBP2NL,0.000,6.541,Cttnbp2nl,0.784,10.880,-0.886
NOBOX,2.083,0.000,Nobox,0.784,0.000,0.767
PLCG2,0.836,3.155,Plcg2,0.784,1.038,0.041
PLRG1,1.830,16.033,Plrg1,0.784,29.570,0.647
RBBP8,0.536,10.879,Rbbp8,0.784,7.351,-0.216
SNX5,0.000,28.982,Snx5,0.784,57.410,-0.886
TMEM65,3.093,3.764,Tmem65,0.784,7.099,1.172
CXCR4,0.473,18.041,Cxcr4,0.779,27.310,-0.273
EXTL3,0.884,17.680,Extl3,0.779,15.820,0.081
GRSF1,0.000,11.820,Grsf1,0.779,32.790,-0.883
LRRTM1,1.893,15.662,Lrrtm1,0.779,0.158,0.682
PIM3,0.000,29.586,Pim3,0.779,28.530,-0.883
PLOD2,0.615,22.727,Plod2,0.779,10.240,-0.139
RSPO3,1.767,27.989,Rspo3,0.779,18.740,0.619
TARSL2,0.000,6.714,Tarsl2,0.779,6.364,-0.883
ADIPOR2,0.536,23.737,Adipor2,0.774,19.560,-0.208
CDC6,0.458,8.051,Cdc6,0.774,7.758,-0.285
CUL1,1.389,27.489,Cul1,0.774,44.770,0.418
DERA,0.000,14.403,Dera,0.774,20.820,-0.880
FOXI2,2.035,8.858,Foxi2,0.774,0.000,0.752
GNG4,0.331,4.255,Gng4,0.774,0.015,-0.421
HLX,1.152,1.582,Hlx,0.774,0.573,0.272
MBNL1,0.000,9.876,Mbnl1,0.774,8.450,-0.880
NBEA,0.584,4.344,Nbea,0.774,4.587,-0.164
NFATC1,0.489,1.043,Nfatc1,0.774,0.811,-0.254
AP1S3,0.000,1.857,Ap1s3,0.769,2.427,-0.877
CACHD1,1.846,38.114,Cachd1,0.769,12.700,0.666
DYNC2LI1,0.000,12.464,Dync2li1,0.769,21.140,-0.877
EN1,0.678,0.000,En1,0.769,0.000,-0.076
GALNT3,0.284,0.945,Galnt3,0.769,0.440,-0.473
GNG2,0.379,12.909,Gng2,0.769,9.465,-0.365
GPD2,0.000,5.398,Gpd2,0.769,6.533,-0.877
GRIA3,0.252,0.252,Gria3,0.769,1.626,-0.511
NUDT7,0.789,2.739,Nudt7,0.769,2.288,0.016
SETMAR,1.294,13.362,Setmar,0.769,2.927,0.365
SLC38A9,0.000,6.116,Slc38a9,0.769,1.949,-0.877
ST3GAL4,0.426,9.955,St3gal4,0.769,6.322,-0.314
VEGFA,0.978,36.741,Vegfa,0.769,34.760,0.158
ASB18,0.331,0.161,Asb18,0.765,0.005,-0.414
CLDN14,0.962,0.188,Cldn14,0.765,0.000,0.151
CRISPLD1,0.000,5.171,Crispld1,0.765,3.274,-0.874
DPY19L3,0.316,16.797,Dpy19l3,0.765,5.063,-0.432
IL20RB,0.789,0.262,Il20rb,0.765,0.216,0.020
PMCH,0.000,2.349,Pmch,0.765,0.164,-0.874
PRMT8,0.726,0.592,Prmt8,0.765,0.000,-0.032
RSU1,0.000,7.982,Rsu1,0.765,20.530,-0.874
SLC10A6,0.000,0.000,Slc10a6,0.765,0.000,-0.874
YPEL4,0.000,1.970,Ypel4,0.765,1.269,-0.874
CLEC16A,0.000,6.841,Clec16a,0.760,5.570,-0.872
F2RL3,0.000,0.716,F2rl3,0.760,0.105,-0.872
FAM110C,0.284,1.091,Fam110c,0.760,0.148,-0.466
FAM160A1,0.000,0.574,Fam160a1,0.760,5.150,-0.872
LECT1,0.000,1.167,Lect1,0.760,0.038,-0.872
PHEX,0.000,0.145,Phex,0.760,0.109,-0.872
PNOC,0.000,0.486,Pnoc,0.760,0.000,-0.872
PRKD1,0.252,7.364,Prkd1,0.760,3.946,-0.504
PTPN14,3.550,25.166,Ptpn14,0.760,11.850,1.344
PTPRK,0.568,13.701,Ptprk,0.760,6.660,-0.166
SYNJ2,0.000,1.342,Synj2,0.760,1.995,-0.872
BCAS1,2.083,0.782,Bcas1,0.755,0.010,0.788
CGNL1,3.913,7.245,Cgnl1,0.755,7.991,1.462
DPP10,0.978,9.001,Dpp10,0.755,0.323,0.170
EPM2A,1.531,3.522,Epm2a,0.755,1.641,0.513
L3MBTL4,1.546,1.426,L3mbtl4,0.755,0.007,0.522
MAP4K1,0.000,1.806,Map4k1,0.755,2.158,-0.869
ME2,0.000,7.908,Me2,0.755,36.610,-0.869
PCDH15,1.688,16.420,Pcdh15,0.755,0.096,0.597
PCDH17,3.519,4.292,Pcdh17,0.755,1.086,1.337
RAB4A,0.000,11.575,Rab4a,0.755,6.433,-0.869
RAI1,0.521,30.983,Rai1,0.755,19.190,-0.207
STMN2,0.000,0.000,Stmn2,0.755,0.040,-0.869
TGFBI,0.000,37.543,Tgfbi,0.755,105.200,-0.869
TSPAN9,0.647,23.629,Tspan9,0.755,28.620,-0.091
UBE2E3,1.373,122.793,Ube2e3,0.755,72.450,0.424
ARHGAP19,0.000,8.489,Arhgap19,0.750,7.879,-0.866
ATP11B,2.856,12.467,Atp11b,0.750,13.310,1.109
CRTAC1,0.000,6.035,Crtac1,0.750,4.847,-0.866
ERRFI1,0.426,14.219,Errfi1,0.750,13.210,-0.299
JAK1,0.000,16.979,Jak1,0.750,19.550,-0.866
NCF2,0.000,3.892,Ncf2,0.750,2.118,-0.866
SARDH,0.252,4.546,Sardh,0.750,11.150,-0.497
SIL1,3.740,24.714,Sil1,0.750,9.126,1.411
SLC35A3,0.000,4.460,Slc35a3,0.750,5.278,-0.866
SRPK2,0.710,13.623,Srpk2,0.750,10.110,-0.033
TTC21B,0.000,5.709,Ttc21b,0.750,4.542,-0.866
ABHD10,0.000,7.972,Abhd10,0.745,6.072,-0.863
ARHGAP5,0.000,13.200,Arhgap5,0.745,16.010,-0.863
BVES,0.000,0.551,Bves,0.745,1.502,-0.863
ESPN,0.000,4.989,Espn,0.745,28.400,-0.863
ITGAV,0.000,5.288,Itgav,0.745,13.600,-0.863
MAP4K4,0.252,30.587,Map4k4,0.745,50.920,-0.493
TMEM125,0.000,0.244,Tmem125,0.745,0.285,-0.863
TMEM44,0.268,9.908,Tmem44,0.745,2.253,-0.474
VPS4A,0.000,40.261,Vps4a,0.745,20.450,-0.863
CACNA2D1,0.568,2.081,Cacna2d1,0.740,11.030,-0.150
CTNNBIP1,0.000,22.270,Ctnnbip1,0.740,25.030,-0.860
FGF7,1.436,1.595,Fgf7,0.740,0.077,0.472
IGF2,0.773,593.340,Igf2,0.740,199.500,0.027
TAPT1,0.773,5.196,Tapt1,0.740,11.650,0.027
TGFBR3,0.000,3.845,Tgfbr3,0.740,1.133,-0.860
VIT,0.000,0.000,Vit,0.740,0.022,-0.860
ZADH2,0.615,11.876,Zadh2,0.740,18.640,-0.107
AGPS,0.300,4.321,Agps,0.735,18.060,-0.428
ARHGEF11,0.000,14.117,Arhgef11,0.735,14.370,-0.857
CMAS,0.000,12.253,Cmas,0.735,23.730,-0.857
GDF10,0.000,1.343,Gdf10,0.735,0.341,-0.857
GPR110,1.515,1.359,Gpr110,0.735,0.053,0.520
IQGAP1,0.394,18.587,Iqgap1,0.735,23.730,-0.321
KLF6,1.578,57.223,Klf6,0.735,6.439,0.554
LAPTM5,0.331,18.385,Laptm5,0.735,6.443,-0.391
LRIG2,0.489,4.634,Lrig2,0.735,6.141,-0.222
RGS3,0.000,15.590,Rgs3,0.735,7.759,-0.857
RPL29,0.000,1264.440,Rpl29,0.735,738.600,-0.857
SEMA3F,0.600,47.611,Sema3f,0.735,57.180,-0.117
ZDHHC2,0.379,7.426,Zdhhc2,0.735,8.611,-0.338
ATOH8,0.000,3.394,Atoh8,0.730,2.510,-0.855
AUH,0.221,6.968,Auh,0.730,10.510,-0.522
CDC7,0.000,15.998,Cdc7,0.730,11.190,-0.855
FHDC1,0.000,1.335,Fhdc1,0.730,0.731,-0.855
GTDC1,0.426,6.450,Gtdc1,0.730,4.845,-0.283
LYZL1,3.613,0.000,Lyzl1,0.730,0.000,1.383
PTGFRN,0.726,18.444,Ptgfrn,0.730,7.994,-0.004
S100PBP,0.000,9.201,S100pbp,0.730,18.970,-0.855
SAMM50,0.000,26.473,Samm50,0.730,44.290,-0.855
TMEM170B,1.515,2.431,Tmem170b,0.730,3.974,0.524
BCAT2,0.000,17.044,Bcat2,0.725,24.870,-0.852
CSRP3,0.000,0.000,Csrp3,0.725,0.000,-0.852
FANCL,0.536,21.677,Fancl,0.725,6.215,-0.168
MYLK2,0.300,1.826,Mylk2,0.725,0.017,-0.420
POSTN,0.994,52.034,Postn,0.725,3.452,0.205
PTP4A2,0.000,28.835,Ptp4a2,0.725,55.240,-0.852
SERPING1,0.000,35.358,Serping1,0.725,6.651,-0.852
TMEM38B,2.446,2.948,Tmem38b,0.725,1.573,0.966
VDAC2,0.000,88.073,Vdac2,0.725,97.560,-0.852
WDFY2,1.783,5.809,Wdfy2,0.725,5.480,0.668
AFTPH,0.805,6.544,Aftph,0.720,8.624,0.068
ANKRD46,0.552,9.657,Ankrd46,0.720,17.750,-0.149
ATP13A3,0.316,17.724,Atp13a3,0.720,22.950,-0.398
BANF2,0.000,0.000,Banf2,0.720,0.000,-0.849
CETN3,0.868,17.853,Cetn3,0.720,45.300,0.117
EDEM1,2.288,8.316,Edem1,0.720,7.053,0.904
GATSL2,0.000,7.850,Gatsl2,0.720,3.393,-0.849
HOXC6,0.000,49.156,Hoxc6,0.720,15.450,-0.849
IGFBP3,1.783,3.124,Igfbp3,0.720,5.088,0.672
KCNJ2,0.000,0.559,Kcnj2,0.720,0.195,-0.849
LIX1,0.000,0.239,Lix1,0.720,0.889,-0.849
LMO7,0.884,1.566,Lmo7,0.720,0.922,0.129
PNLIP,0.000,0.000,Pnlip,0.720,0.000,-0.849
PRKCQ,0.899,1.173,Prkcq,0.720,0.301,0.141
RAB11A,0.789,19.369,Rab11a,0.720,19.610,0.056
SLN,0.000,0.183,Sln,0.720,0.014,-0.849
TRPA1,0.994,0.077,Trpa1,0.720,0.098,0.209
ZMAT3,0.442,1.836,Zmat3,0.720,3.853,-0.258
CLDN5,0.600,4.249,Cldn5,0.716,0.713,-0.101
GNAS,0.000,730.446,Gnas,0.716,593.100,-0.846
IQUB,1.057,0.398,Iqub,0.716,0.035,0.257
IRS1,1.972,5.488,Irs1,0.716,2.863,0.767
LEMD2,0.000,23.029,Lemd2,0.716,15.790,-0.846
LIMA1,0.521,21.618,Lima1,0.716,10.430,-0.175
METTL3,0.615,32.336,Mettl3,0.716,12.250,-0.087
PTPRF,0.505,63.973,Ptprf,0.716,45.600,-0.191
SALL2,0.615,21.670,Sall2,0.716,38.030,-0.087
SEMA3D,0.252,1.419,Sema3d,0.716,5.815,-0.471
STIM2,0.663,3.958,Stim2,0.716,11.970,-0.045
TRAK1,0.458,13.796,Trak1,0.716,8.610,-0.238
WBP1,0.000,73.116,Wbp1,0.716,52.120,-0.846
AKAP5,0.884,1.795,Akap5,0.711,1.300,0.137
BMP2K,0.237,5.566,Bmp2k,0.711,2.934,-0.487
F2RL2,0.000,0.240,F2rl2,0.711,0.001,-0.843
GAN,0.000,0.645,Gan,0.711,2.434,-0.843
GPD1L,0.726,3.878,Gpd1l,0.711,7.195,0.013
HTR5A,1.041,0.000,Htr5a,0.711,0.000,0.250
INTS6,0.489,4.771,Ints6,0.711,6.719,-0.202
PELI1,0.000,12.893,Peli1,0.711,15.250,-0.843
PLEKHF2,0.331,4.089,Plekhf2,0.711,6.461,-0.372
SOX14,0.742,0.000,Sox14,0.711,0.000,0.026
USP38,0.410,6.498,Usp38,0.711,7.362,-0.284
WNT7B,0.000,0.862,Wnt7b,0.711,0.131,-0.843
ACTN1,0.394,27.194,Actn1,0.706,31.320,-0.297
ATP10A,1.673,1.113,Atp10a,0.706,3.951,0.627
CCRN4L,0.426,3.443,Ccrn4l,0.706,3.868,-0.263
DLL1,0.284,5.779,Dll1,0.706,1.568,-0.424
ELMOD1,0.000,0.829,Elmod1,0.706,0.096,-0.840
FAH,0.394,7.931,Fah,0.706,0.767,-0.297
GALNT5,0.000,0.231,Galnt5,0.706,2.097,-0.840
KCNQ1,1.578,2.633,Kcnq1,0.706,0.086,0.577
LBX1,0.000,0.000,Lbx1,0.706,0.008,-0.840
NCOA1,0.568,12.297,Ncoa1,0.706,5.392,-0.122
NFKB1,0.000,10.527,Nfkb1,0.706,10.070,-0.840
OGFRL1,1.751,18.020,Ogfrl1,0.706,5.775,0.667
